"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Michigan City-La Porte, IN","33140",2023,365,277,76,12,0,0,0,133,68,39,0,0,303,62,0
"Middlesborough, KY","33180",2023,365,185,177,3,0,0,0,131,67,49,0,0,74,291,0
"Milwaukee-Waukesha-West Allis, WI","33340",2023,365,159,178,24,1,3,0,270,93,53,0,5,115,245,0
"Minneapolis-St. Paul-Bloomington, MN-WI","33460",2023,365,134,201,24,6,0,0,190,97,55,1,3,122,223,16
"Minot, ND","33500",2023,365,244,101,13,6,1,0,278,80,42,0,0,228,137,0
"Missoula, MT","33540",2023,364,156,200,8,0,0,0,134,76,53,0,0,67,297,0
"Mobile, AL","33660",2023,361,203,157,1,0,0,0,108,63,46,0,0,96,257,8
"Modesto, CA","33700",2023,365,166,176,23,0,0,0,150,93,54,0,0,199,161,5
"Monroe, LA","33740",2023,358,283,75,0,0,0,0,100,58,38,0,0,289,69,0
"Monroe, MI","33780",2023,65,59,6,0,0,0,0,82,45,25,0,0,0,0,65
"Montgomery, AL","33860",2023,331,138,193,0,0,0,0,93,66,52,0,0,65,266,0
"Morehead City, NC","33980",2023,352,319,31,2,0,0,0,105,50,38,0,0,352,0,0
"Morgantown, WV","34060",2023,277,227,49,0,1,0,0,169,59,42,0,0,214,63,0
"Morristown, TN","34100",2023,241,210,29,2,0,0,0,112,54,42,0,0,241,0,0
"Moscow, ID","34140",2023,360,320,38,1,1,0,0,183,52,22,0,0,0,360,0
"Moses Lake, WA","34180",2023,365,300,59,3,0,2,1,301,57,32,0,0,0,365,0
"Mount Vernon, IL","34500",2023,365,213,141,10,1,0,0,157,67,46,0,0,112,253,0
"Mount Vernon, OH","34540",2023,245,200,44,1,0,0,0,105,61,42,0,0,245,0,0
"Mount Vernon-Anacortes, WA","34580",2023,365,336,29,0,0,0,0,93,48,30,0,0,80,285,0
"Muncie, IN","34620",2023,363,287,71,5,0,0,0,121,62,40,0,0,313,50,0
"Muscatine, IA","34700",2023,365,188,173,1,2,1,0,207,66,49,0,0,0,365,0
